FIPS_Code,County,State,Adult Obesity Percentage,Infant Mortality Rate,Life Expectancy,Incarceration Rate,Incarceration_Rate_1k,HIV_Prevalence,Motor Vehicle Death Rate,Secondary Educational Attainment,GINI Index (Income Inequality),Population Density,Domestic In-Migrants 2010s,Domestic In-Migrants 2010s (norm),Domestic Net Migrants 2010s,Domestic Net Migrants 2010s (norm)
20125,Montgomery County,KS,40.4,6.811547194,74.59049486,NA,NA,0.1,34.56,88.8,0.4434,50.53,3570,104.799647732277,-1214,-35.6377513576985
20127,Morris County,KS,39.4,NA,79.1461376,NA,NA,NA,NA,91.2,0.4262,8,31,5.44050544050544,31,5.44050544050544
20129,Morton County,KS,33.3,NA,77.08516769,NA,NA,NA,NA,84,0.4193,3.77,0,0,0,0
20131,Nemaha County,KS,34.4,NA,80.39597617,NA,NA,NA,NA,94.2,0.4073,14.11,267,26.3106030744974,-92,-9.06582577847852
20133,Neosho County,KS,36.1,NA,77.94223912,NA,NA,NA,NA,90.8,0.4367,28.19,972,59.2105263157895,109,6.63986354775828
20135,Ness County,KS,35.7,NA,75.03908227,NA,NA,0,NA,90.9,0.4699,2.68,0,0,0,0
20137,Norton County,KS,33.9,NA,78.20989522,NA,NA,NA,NA,89.1,0.4589,6.2,0,0,0,0
20139,Osage County,KS,39.5,NA,75.70416933,NA,NA,0,NA,90.8,0.4246,22.51,1615,101.342871485944,220,13.8052208835341
20141,Osborne County,KS,32.2,NA,74.56762809,NA,NA,NA,NA,93.9,0.4775,3.96,0,0,0,0
20143,Ottawa County,KS,34.1,NA,75.73644825,NA,NA,NA,NA,94.9,0.4098,8.08,524,86.3973619126133,119,19.6207749381698
20145,Pawnee County,KS,34,NA,76.61055657,NA,NA,0.2,NA,90.6,0.3951,8.79,185,26.7495662232504,17,2.45806824754193
20147,Phillips County,KS,34.4,NA,80.10239281,NA,NA,0,NA,92.4,0.4144,6.03,0,0,0,0
20149,Pottawatomie County,KS,30.7,NA,80.05578966,NA,NA,0,NA,94.2,0.3979,28.36,6777,295.977638992008,1401,61.1870550727169
20151,Pratt County,KS,34.1,NA,77.83528063,NA,NA,NA,NA,92.1,0.4275,12.86,91,9.23857868020305,-146,-14.8223350253807
20153,Rawlins County,KS,37,NA,76.30027186,NA,NA,0,NA,95.8,0.4191,2.34,0,0,0,0
20155,Reno County,KS,38.5,8.286760455,77.8284899,NA,NA,0.1,NA,88.5,0.4402,50,7855,123.130701946892,-1706,-26.7423268645954
20157,Republic County,KS,37.6,NA,76.22767517,NA,NA,NA,NA,95.9,0.4124,6.49,139,28.9402456797835,139,28.9402456797835
20159,Rice County,KS,36.3,NA,75.99485655,NA,NA,NA,NA,91.6,0.4242,13.3,552,55.117324013979,-107,-10.6839740389416
20161,Riley County,KS,25.2,4.848484849,81.26818139,NA,NA,0.1,NA,95.8,0.4747,123.1,24773,329.454477750884,-8054,-107.109609809293
20163,Rooks County,KS,35.6,NA,79.01913849,NA,NA,NA,NA,88.7,0.4012,5.67,98,19.0106692531523,-60,-11.639185257032
20165,Rush County,KS,32.6,NA,74.56818634,NA,NA,NA,NA,92.1,0.4011,4.21,94,29.4025649045981,94,29.4025649045981
20167,Russell County,KS,33.5,NA,79.29326466,NA,NA,NA,NA,88.1,0.4309,7.84,264,37.9528464634848,65,9.34445083381254
20169,Saline County,KS,36.5,5.061867267,78.23697133,NA,NA,0.1,NA,91.5,0.437,75.95,7352,131.862613218545,-1010,-18.1149672675096
20171,Scott County,KS,38.2,NA,80.85470027,NA,NA,0,NA,84.4,0.3592,6.85,0,0,0,0
20173,Sedgwick County,KS,33.5,6.83491062,77.53248833,NA,NA,0.2,13.18,89.6,0.4525,514.96,86440,169.88893540329,-12742,-25.0430913339741
20175,Seward County,KS,36.4,NA,79.96254959,NA,NA,0.2,NA,66.3,0.4053,34.94,3595,153.206903899425,-435,-18.538248455146
20177,Shawnee County,KS,35.9,7.078781961,77.17823123,NA,NA,0.1,12.44,92.2,0.442,326.92,22012,123.381500622176,-4060,-22.7570821609139
20179,Sheridan County,KS,30.3,NA,82.68495069,NA,NA,0,NA,96.1,0.4401,2.8,0,0,0,0
20181,Sherman County,KS,35.7,NA,77.35335755,NA,NA,NA,NA,92.3,0.4057,5.62,0,0,0,0
20183,Smith County,KS,36.7,NA,78.84249179,NA,NA,0,NA,93,0.4458,4.05,0,0,0,0
20185,Stafford County,KS,34.6,NA,76.56937052,NA,NA,0.1,NA,90.7,0.4456,5.28,39,9.07609960437515,2,0.465441005352572
20187,Stanton County,KS,37.2,NA,80.50103037,NA,NA,0,NA,78.5,0.4214,3.02,0,0,0,0
20189,Stevens County,KS,38.6,NA,78.69939062,NA,NA,0,NA,78.2,0.4621,7.7,54,9.30873987243579,54,9.30873987243579
20191,Sumner County,KS,40.1,NA,78.11024407,NA,NA,0.1,NA,92.3,0.4151,19.56,6261,266.10846650799,-606,-25.7565453927236
20193,Thomas County,KS,34.6,NA,80.22807992,NA,NA,NA,NA,93.3,0.4769,7.27,91,11.5321252059308,6,0.760359903687746
20195,Trego County,KS,37.1,NA,77.70667392,NA,NA,0,NA,93.2,0.3718,3.19,47,16.1957270847691,2,0.689179875947622
20197,Wabaunsee County,KS,32.2,NA,81.14451901,NA,NA,0,NA,95.4,0.3684,8.67,665,94.7023639988607,37,5.26915408715466
20199,Wallace County,KS,34.8,NA,NA,NA,NA,0,NA,94.7,0.3566,1.72,0,0,0,0
20201,Washington County,KS,33.1,NA,79.63146717,NA,NA,NA,NA,91.6,0.4182,6.14,51,9.11039657020364,1,0.178635226866738
20203,Wichita County,KS,34.3,NA,80.03225525,NA,NA,0,NA,86.6,0.3615,2.96,0,0,0,0
20205,Wilson County,KS,36.7,NA,76.02976736,NA,NA,NA,NA,88.5,0.4839,15.23,427,47.2972972972973,-62,-6.86752326096588
20207,Woodson County,KS,37.1,NA,77.0424808,NA,NA,NA,NA,90.7,0.439,6.34,0,0,0,0
20209,Wyandotte County,KS,38.8,7.211665,76.161834,NA,NA,0.3,13.9,78.9,0.4246,1087.2,60133,372.027271152466,-6529,-40.3932292311119
21001,Adair County,KY,37.7,NA,76.44538657,412.15,4.12,0.1,NA,79.6,0.4777,47.43,841,43.7929598000417,-23,-1.19766715267653
